ID,Name,Description,WriteUp,Category,Cost,IndoorOutdoor,Address,PhotoURL,Latitude,Longitude,Neighborhood,City,ZipCode,Duration,Hours,Phone,Website,Instagram,Email,ParkingInfo,PublicTransit,Tags,KidFriendly,PetFriendly,Accessibility,WeatherPreferences,RainOk,IdealTempMin,IdealTempMax,WindSensitive,RequiresGoodVisibility,WeatherBoost,TidePreference,TideCritical,Tips,BestTimeToVisit,BestFeature,WhatToBring,StaffPick,Featured,Priority,Sponsored,Rating,ReviewCount,MetaDescription,Keywords,Slug,Status,Source,Difficulty,AgeRestriction,GroupSize,ReservationRequired,SeasonalAvailability
natural-bridges-state-beach,Natural Bridges State Beach,Natural Bridges State Beach in Santa Cruz. Beach activity perfect for sunny weather.,,Beach,0,Outdoor,"2531 W Cliff Dr, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2e6dO_-ACxD76hXsLvJrRgcCUwFlGmm_56JyUDuH4z7zout6mOYmkuPqGkxm3OY5lUUi_3ajRZWWA0YrZINPgfcDirM2pX6He-Lw5A4Tid72rry--spWgw0XWaEW_m-_dYwhfe51g2ixlS-53A0om32noNZiHUO3tzsukyGoeyRKw0Yy_giBUp2LihYrx25cW5cpHjFayic1uMHyYPlebNE4Uu1tUso4GvfolyyK-vJqd2w1Ho0trRgkZDpX4uHlRLPLsEJDanEpcldKewxVpUpTtLLDmpPlbIUTRMOm8sHPZ_wVNGNWwy_TCJwBbY-S8neXKnfS-_xet-8hl3Q2mHorHZ2vNj-RBybV4KvEVmMGIPbZAZoKSbMHDV9-ghTpyfFnoMsCwAOTds3BHi7CctkQiQKZ2fjd6YLmVpejSWkpP8&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9502805,-122.0575721,,Santa Cruz,,2-4 hours,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:30 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,(831) 423-4609,https://www.parks.ca.gov/?page_id=541,,,,,"beach,outdoor,scenic,family,photo-worthy",true,true,,"sunny,partly-cloudy,warm",false,65,85,true,true,1,,false,,,,,false,false,,false,4.7,2187,,"beach, outdoor, scenic, family, photo-worthy",natural-bridges-state-beach,Published,Google Places,,,,false,year-round
seacliff-state-beach,Seacliff State Beach,Seacliff State Beach in Santa Cruz. Beach activity perfect for sunny weather.,,Beach,0,Outdoor,"State Park Dr, Seacliff, CA 95003, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2dVJJojBzcs0RwIiuaaZAoV6ez0JKIlTB_Alubui_b9PbgkuPq7tIJmFJkEHZnqxHSlV_0Z0Bc55u_RghDIJlTpgFaYy1qQ7MA2LHXOSW2LHIsAgT4oqWNHGSj_Q-2XTLkXC4J_tkPP5dxQlGnCpRMDRbl-DGdmpSw-ncNYYTtPOitNwEmV9N8s9m1bhknwvqUmNIUyFUa2Jqs_OFMKiwan-yUMIZoAqc9V3mtIyRfVZEsc4q8mh8GYQ4gFyBP0UTByNQ5XTsTIrm_EYp7sRYvcTn8AG456pe0Qd-BAmJthqiHTttPOGEOM7-kpqW9cu24FAD8wWInTpsqdEg8_tRAN0lWiq-lfNVEGvAWG9wvpX-0Gy81HD4uU-8AIcDlF1TNFTnQHkMrg5yzei6iojbBtZTOT4-hnoomVn5T4Css1FMQ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.971997,-121.9139256,,Santa Cruz,,2-4 hours,,(831) 685-6442,http://www.parks.ca.gov/?page_id=543,,,,,"beach,outdoor,scenic,family,photo-worthy",true,Leash required,,"sunny,partly-cloudy,warm",false,65,85,true,true,1,,false,,,,,false,false,,false,4.6,4852,,"beach, outdoor, scenic, family, photo-worthy",seacliff-state-beach,Published,Google Places,,,,false,year-round
cowell-beach,Cowell Beach,Cowell Beach in Santa Cruz. Beach activity perfect for sunny weather.,,Beach,0,Outdoor,"Cowell Beach, 21 Municipal Wharf, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2d9vgr5JDiqFFLMGlX_HvLsUCEc0hXGeyF5HwCrJyj38-b5VwxaqmcQ5KJICH63p5VAek4OjONEfYvNTBPn7QuWwTQyMFtXtidOawNjCM2lqdoC3itG35fBNk_AntCvxhYWX2YYOrAUwDlMavi2V3JK8WdbH0cnLg-yB_SiR_LUu1a6Y2CTyyLgWkJYsk9OOFcrnfCrfHtFZgFJBRmn-9sIuBe3jU2WJRpq5hqP4iDCGoWas9XmVUFtPdwRWQG3GFELDfwmmzmH1iNBJnvpiOfjuzcHZHuyTkCehyyNjz_MagWevJKbnEoz3KL2pv3QYc1zEomliI3hEkjc8m12e_Quq4htywKBBm2vIkawUDRQc8Nxt-_FJKykjP0D4JQXilkLTSOpzQzwraSFqIygc6vLd1aF3SrGwfRWVsTRm1gVUqc&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9625309,-122.0226092,,Santa Cruz,,2-4 hours,Monday: 6:00 AM – 11:00 PM; Tuesday: 6:00 AM – 11:00 PM; Wednesday: 6:00 AM – 11:00 PM; Thursday: 6:00 AM – 11:00 PM; Friday: 6:00 AM – 11:00 PM; Saturday: 6:00 AM – 11:00 PM; Sunday: 6:00 AM – 11:00 PM,(831) 420-5270,https://www.cityofsantacruz.com/government/city-departments/parks-recreation/parks-beaches-open-spaces/beaches-aquatics,,,,,"beach,outdoor,scenic,family,photo-worthy",true,Leash required,,"sunny,partly-cloudy,warm",false,65,85,true,true,1,,false,,,,,false,false,,false,4.4,461,,"beach, outdoor, scenic, family, photo-worthy",cowell-beach,Published,Google Places,,,,false,year-round
seabright-beach,Seabright Beach,Seabright Beach in Santa Cruz. Beach activity perfect for sunny weather.,,Beach,0,Outdoor,"Seabright Beach, Santa Cruz, CA 95062, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2dXkKB8e6s62CtABShPxchIErTWRRpnQMQTq31DNrni-LZ3vobqtlMti77dkRkUv-n5g5rREoabih_mi8K82wK-jysJs5rd-IjryNSF_OQpAlr8G5xZ7AmMEuls91JAuiema9rwD2hhXCSV4mYEi5y9H2nTY_3DhrRjIuLkH7v0JMF6XTe5d84aF7io7THy2-gN0OqQwwM2duHvjT_zIDSJNToWMPh_tqjpUPcgZpyLz3jSkuP8i8K3yDM59CSzR3YQDA-K2_7HSFTPxlj36KG2AqVJU3eK5GWHggx80pncKqVZj35euIivVllW6R8WJENnoyAiWVp71fzOIWMernjijaiDdJHWLn-hgWsmjGtHwNoZarS3OBOldRc-hbkpVpSianQLchpBOTy2vdnAQXpBE15dhhGIDRNo_8whqOw1FNo&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9629896,-122.007161,,Santa Cruz,,2-4 hours,,,,,,,,"beach,outdoor,scenic,family,photo-worthy",true,Leash required,,"sunny,partly-cloudy,warm",false,65,85,true,true,1,,false,,,,,false,false,,false,4.6,1955,,"beach, outdoor, scenic, family, photo-worthy",seabright-beach,Published,Google Places,,,,false,year-round
sunset-state-beach,Sunset State Beach,Sunset State Beach in Santa Cruz. Beach activity perfect for sunny weather.,,Beach,0,Outdoor,"Sunset Beach Rd, Watsonville, CA 95076, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2dBoomB_BNQQPXe4wKftFYW4LNLVfrPSx5XsZfljY7ll1fUOsJcxO6V8qBOBz7cjo0MzI3wLj6itHcb7wr7TnZPUi8_Gm6k-1i7aQE_omrh8z6Na5Gf7uyZr_FSwoXCyy7lZqyGc4tJXOEnU5klziDr4DOrFE5qPUICkNC6PZXJsg2tF9YDoL9vbPA4nm4cPy9djr8NkG3HUvg3TA-zFWBN7tvDixx1fghCG5wL70qACehjecDUYufblZr-OHHkBllTeLK7dQUsmZX9qn-Npg6JpYC2cBuChfsOts-JjTdPUrnRR9b1HvF8I-P0bifukHMOVL0dq2o0TrIZi6SHkufyNGzAo6axFNkUFjV2k_WvYM81HVELKrYkWXL8ieBHaZ4Vrw20Lezzw12YWloDq-jC0HfNVjInjuQsTUrnsJVDpg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.8867526,-121.8325358,,Santa Cruz,,2-4 hours,,(831) 763-7063,http://www.parks.ca.gov/?page_id=544,,,,,"beach,outdoor,scenic,family,photo-worthy",true,true,,"sunny,partly-cloudy,warm",false,65,85,true,true,1,,false,,,,,false,false,,false,4.7,2878,,"beach, outdoor, scenic, family, photo-worthy",sunset-state-beach,Published,Google Places,,,,false,year-round
capitola-beach,Capitola Beach,Capitola Beach in Santa Cruz. Beach activity perfect for sunny weather.,,Beach,0,Outdoor,"141 Esplanade, Capitola, CA 95010, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2diVjmWVJVlEjioirqARXXUfg18PnYQRpKPaMnak0G-lWpNm38mGbwVx7In8ZnYQztfVK8hVdtEVud2AEjwNwAP2Dws-_I8H44VsJqs6ZqNfc0vJBZmAShCUXknkRBPZd83nDg_Jo-a8O1uGwo-m3Ob3HyYk_FOJBA7gnTLpm3fbJNN_LZ6yhlre0nvWY53eB0ec3sEYM6dM4Ng_s5KTS2mZhxJYBsKCrAX0NPwqX-vj1n9lzBDxeDyQYw4rarNpgZ4ro_n7u4IeidwvJB8AM8qiP4m1aQqUB798spO7-KeHhJ7iQiwQFYmVAKMZtLrdvAuBd1FdHPuMW_bls1C7i1Pw6ILiowgsfn0cD3cNJzCYSoKJp0Q7CwohlWKL7mA4wmIBavuRMLCmhNL2exJk0Kaezlb2N0UGrKQDDV5oZsgVw&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9717193,-121.9510414,,Santa Cruz,,2-4 hours,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,(831) 475-6522,,,,,,"beach,outdoor,scenic,family,photo-worthy",true,Leash required,,"sunny,partly-cloudy,warm",false,65,85,true,true,1,,false,,,,,false,false,,false,4.6,1684,,"beach, outdoor, scenic, family, photo-worthy",capitola-beach,Published,Google Places,,,,false,year-round
capitola-beach,Capitola Beach,Capitola Beach in Santa Cruz. Beach activity perfect for sunny weather.,,Beach,0,Outdoor,"Capitola Beach, Capitola, CA 95010, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2eXBkK0DLEDD9yJN_TfErrRlfip2PYAQ4o4tBorhf7nSVonaYhRz23_6b-3OmFL5f2kjAz0zk0U8SDXDylJvbbOvoIjSmsJc24eESfZb9cNhBA9GSRMeNBfn9Vx1wq9t9Kd_a_iIkWOoP5xabtTZfMXsIdWOz5D9dW3M6C0p7X6GmDBcpLwBGvKTcr2pOHmN9uKJfuJS0FUZ5hJnQj___cmKvaOFAjrmB_CjiAalmIvKOHMuZEbU2ARBoV5HqeG7zGqe32aLrPRiKe9UP-Sr_EX5qOcXLxkJT7DzHgXGDPSiIz-X5sCFlZqgVjqT5DS57l4v2-80chsCeZEk1dSl74KJes7m0Xmx1mzVJRUdY9BXW10-F11riomAeKfevYb5CItYhVLc-gAzAz-bxbnIEy5qw39OEgU--PEf_OT37NRuJbP&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9711927,-121.9521104,,Santa Cruz,,2-4 hours,,,,,,,,"beach,outdoor,scenic,family,photo-worthy",true,Leash required,,"sunny,partly-cloudy,warm",false,65,85,true,true,1,,false,,,,,false,false,,false,4.6,346,,"beach, outdoor, scenic, family, photo-worthy",capitola-beach,Published,Google Places,,,,false,year-round
wilder-ranch-state-park,Wilder Ranch State Park,Wilder Ranch State Park in Santa Cruz. Hiking activity perfect for sunny weather.,,Hiking,0,Outdoor,"1401 Coast Rd, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2d7XeA-6Tpnanycj35v_zNE3_5cibKCPpcZW4pvWLJ45cExACcmNRzzB9s3x1UoFOR5NBjMlgHsX_u_wqXQMHCia8K7_WrzHL1-VbG9pWA4VWloPt3K5onXxdh8jebKGJc5sBbUa23GuhTBUACgex49iI1YPtRJ2GO0d3l-MohN-AQwGL7KlSo-oKY4RcpUuC3G69JxELyRvrrcJPfxWw4zhL_L6xGMmS2QOfxvX1YbFEhMSQxv8uQcKBuZ1XVXU2-cJdQ3538AYPfdgaIVvwnNlMcRSjROmfK32C-zFzv9V7sJhT_P6nd7yR5hNBfGy5aee4VY4LPG7M_2zBvEAGRGLwv_8gTXgAtjTRnXId3PByTJa2p__Yw0v8iNWPJor3gBffkdJBfOqobfQuOzP9r3zVfQAzO9n5Qgpl2GOffPdw&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9608175,-122.0833662,,Santa Cruz,,1-3 hours,Monday: 8:00 AM – 8:30 PM; Tuesday: 8:00 AM – 8:30 PM; Wednesday: 8:00 AM – 8:30 PM; Thursday: 8:00 AM – 8:30 PM; Friday: 8:00 AM – 8:30 PM; Saturday: 8:00 AM – 8:30 PM; Sunday: 8:00 AM – 8:30 PM,(831) 423-9703,https://www.parks.ca.gov/?page_id=549&utm_source=GMB&utm_medium=Organic&utm_campaign=GMB1,,,,,"hiking,nature,outdoor,exercise,scenic",true,true,,"sunny,partly-cloudy,cloudy,cool",false,50,75,false,false,1,,false,,,,,false,false,,false,4.8,2545,,"hiking, nature, outdoor, exercise, scenic",wilder-ranch-state-park,Published,Google Places,,,,false,year-round
the-forest-of-nisene-marks-state-park,The Forest of Nisene Marks State Park,The Forest of Nisene Marks State Park in Santa Cruz. Hiking activity perfect for sunny weather.,,Hiking,0,Outdoor,"Aptos Creek Rd, Aptos, CA 95003, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2fBSgRLpwaTqvqwvtW-CZz47J0bFotaeXTH0jHGaz9kfJJ90-YVy3Xa_Mj_xSY1ab5urNNsqqJVzCu_VI68Q26vVnMKkkcDFelnFdrHLwUnTs3gbMtZjKqpH6fkirhiuFsKP3zx3VRQHX4jncGZyPJOAhwaJjaOSu_zXxUxHwob7v59aFzt7BaqNL9uYApYXnsHmoUZbhicQVf6ENfuR1dLCLiUi8ghYdjqjHQcypddYQd7ruDVffclmq3whbmjPSG_dG-p15njezCjQlwjmgEJKVesEaSOq2KQTYyQSkJfnA&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,37.0329085,-121.8925277,,Santa Cruz,,1-3 hours,,(831) 763-7063,https://www.parks.ca.gov/?page_id=666,,,,,"hiking,nature,outdoor,exercise,scenic",true,true,,"sunny,partly-cloudy,cloudy,cool",false,50,75,false,false,1,,false,,,,,false,false,,false,4.8,1433,,"hiking, nature, outdoor, exercise, scenic",the-forest-of-nisene-marks-state-park,Published,Google Places,,,,false,year-round
pogonip-open-space,Pogonip Open Space,Pogonip Open Space in Santa Cruz. Hiking activity perfect for sunny weather.,,Hiking,0,Outdoor,"501 and 410 Golf Club Dr, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2c-YjJOvDlNBkHI4itwzJoFarKDGQarp-8SN1qHOfooOuxYu09WXrNESMhJXNEvgNGE3RGv1QdcVO0WQIjFnRpNPRWyWbQSN3PAqkhTiWGaigW7-E8iF5qTLGjSSZOTFMZ7e8XFGBGduotQsU8WmjR_Tdm5jQIEkhETDy0MGm0dUABDDhiu7JB4P70JI-8KCBpNul0192mQfbpdZqx6nK2avf9wxyRZfPE80jWN7zDzy-TJgtba-DwNCRZvTy3RAfkJh26-rY48_2rJne_vvAmDcVzPbN6flYBluR3y0b-ArbPrS6Vq3yAPcjI-vmiS7aDtXpeGpkj-gzoesmgPKKPtMFKvk0FUjac_voWGjIaBbl97FVbiUgIfTL9rkA8MIKNVQZMjtRi2hIGUCTf2UgT-4-l6M7E466zldtNHL2XdLyEl&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9966589,-122.044513,,Santa Cruz,,1-3 hours,,(831) 420-5270,http://www.cityofsantacruz.com/government/city-departments/parks-recreation/parks-beaches-open-spaces/open-spaces/pogonip,,,,,"hiking,nature,outdoor,exercise,scenic",true,true,,"sunny,partly-cloudy,cloudy,cool",false,50,75,false,false,1,,false,,,,,false,false,,false,4.5,454,,"hiking, nature, outdoor, exercise, scenic",pogonip-open-space,Published,Google Places,,,,false,year-round
