ID,Name,Description,WriteUp,Category,Cost,IndoorOutdoor,Address,PhotoURL,Latitude,Longitude,Neighborhood,City,ZipCode,Phone,Website,Instagram,Email,Duration,Hours,ParkingInfo,PublicTransit,Tags,KidFriendly,PetFriendly,Accessibility,WeatherPreferences,RainOk,IdealTempMin,IdealTempMax,WindSensitive,RequiresGoodVisibility,WeatherBoost,TidePreference,TideCritical,Tips,BestTimeToVisit,BestFeature,WhatToBring,StaffPick,Featured,Priority,Sponsored,Rating,ReviewCount,MetaDescription,Keywords,Slug,Status,Source,Difficulty,AgeRestriction,GroupSize,ReservationRequired,SeasonalAvailability
crows-nest-restaurant,Crow's Nest Restaurant,Seaside restaurant with exposed beams & views serves an extensive menu of casual American fare.,,Bar,30,Indoor,"2218 E Cliff Dr, Santa Cruz, CA 95062, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2du9Qlj9syE8CnWeHMVFL69PA4MTVOOv10RXtKHaHGHWJPrngP9d2hnB5_or_XUnlt84_MpVVoEr5Rm-CkIn9PGKyTfgIA-DAeuPNXOoz3zrlKTnwSyzf7z_IGLthQS4XB7QRtcXGqzfLnGhYB899nTWHpI2MtWICqVqXvfdqIPLxWtt6dY9uW09ppMyaEtJcZ7dCe2DrXI1eBcp7p0qGIlhjolMmzDLCdSDBwwBSHBbF_NCIKiaAXn-RVO707Hn5fR5esHhhwxff98XDWDpZoKq_5NebKEl2WozjX_ygG5vQ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9632457,-122.0013808,Santa Cruz,Santa Cruz,,(831) 476-4560,http://www.crowsnest-santacruz.com/,,,1-3 hours,Monday: 7:30 AM – 9:00 PM; Tuesday: 7:30 AM – 9:00 PM; Wednesday: 7:30 AM – 9:00 PM; Thursday: 7:30 AM – 9:00 PM; Friday: 7:30 AM – 11:00 PM; Saturday: 7:30 AM – 11:00 PM; Sunday: 7:30 AM – 9:30 PM,,,"food,restaurant,dining,bar,bar,drinks,nightlife",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,Happy hour 4-6 PM,,Reservation recommended for dinner,false,false,,false,4.3,5571,"Crow's Nest Restaurant - Bar restaurant in Santa Cruz, Santa Cruz. Seaside restaurant with exposed beams & views serves an extensive menu of casual American fare.","bar, restaurant, santa cruz, santa cruz, dining, food",crows-nest-restaurant,Published,Google Places,,21+,Great for groups,false,year-round
makai-island-kitchen-groggery,Makai Island Kitchen & Groggery,"Lively bar & grill for seafood, steaks & pastas in a marine-inspired space with a rotating bar.",,Bar,30,Indoor,"49A Municipal Wharf, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2e1whsRdxHXmSd_Sza8AOj6QR0w25PHjmZEIT18xDBrgqqeMnKMBWGCaOTKIfVUiVNo2SWrEVEAyDIpxc4vvyYIEWYrFOd-_QeZloQI2SOqLu832P7tRHMB1dOV3cW4FUjKpWVj5DVnF17Kj_ARFODLG1aJD72_N9oXssamy7U0Xp5HlAuKLPlrwAt-dVfdDiS2lta7HnP7_d6qVkxYNgMt3enNov8hz6FsST_-aYdySaVy6msaSFS3ylNgpN182AEmfluF85wZ1ZB7k0fEwDJkYth2viHdlwxLwITrwS9CuQ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9589407,-122.0184181,Santa Cruz,Santa Cruz,,(831) 466-9766,https://www.makaisantacruz.com/,,,1-3 hours,Monday: 11:00 AM – 9:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 9:00 PM; Saturday: 11:00 AM – 9:00 PM; Sunday: 11:00 AM – 9:00 PM,,,"food,restaurant,dining,bar,bar,drinks,nightlife",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,Happy hour 4-6 PM,,Reservation recommended for dinner,false,false,,false,4.3,1759,"Makai Island Kitchen & Groggery - Bar restaurant in Santa Cruz, Santa Cruz. Lively bar & grill for seafood, steaks & pastas in a marine-inspired space with a rotating bar.","bar, restaurant, santa cruz, santa cruz, dining, food",makai-island-kitchen-groggery,Published,Google Places,,21+,Great for groups,false,year-round
jack-oneill-restaurant-lounge,Jack O'Neill Restaurant & Lounge,"Relaxed, airy hotel restaurant offering coastal cuisine & cocktails, plus live music & ocean views.",,Restaurant,30,Indoor,"175 W Cliff Dr, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2cTp1N3GeVkwiVJ007xR43nr71awFf1AgbGUua84zROekIaPQjZlwj5H3GrUP4bkeu-D1jkSq0X_sF1ejsMp0yKkUbSI4mwmdpEIQ1fc12azNcEa6gLh9WyZVU3tpuXQYrfG6qeRTW_m0AbrD4sXkw9JWox1nE3DLMraiwBAOe4X4wwzo2fbr3zSCP9uLij2WocZzetZkJugDB0nGbMcGS080ecEkuSkxzv0AO-9oSHLXf_6MGF5_6CdjN4gsnCsI1RMrX3UYk7vaLqo1toC-3saqn4KkJVGPXuvQuNExV4Qw&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9623234,-122.0243879,Santa Cruz,Santa Cruz,,(831) 740-8138,https://www.jackoneillrestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,,,1-2 hours,"Monday: 7:00 AM – 2:00 PM, 5:00 – 9:00 PM; Tuesday: 7:00 AM – 2:00 PM, 5:00 – 9:00 PM; Wednesday: 7:00 AM – 2:00 PM, 5:00 – 9:00 PM; Thursday: 7:00 AM – 2:00 PM, 5:00 – 9:00 PM; Friday: 7:00 AM – 2:00 PM, 5:00 – 9:30 PM; Saturday: 7:00 AM – 2:00 PM, 5:00 – 9:30 PM; Sunday: 7:00 AM – 2:00 PM, 5:00 – 9:00 PM",,,"food,restaurant,dining",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,Reservation recommended for dinner,false,false,,false,4.3,564,"Jack O'Neill Restaurant & Lounge - American restaurant in Santa Cruz, Santa Cruz. Relaxed, airy hotel restaurant offering coastal cuisine & cocktails, plus live music & ocean views.","american, restaurant, santa cruz, santa cruz, dining, food",jack-oneill-restaurant-lounge,Published,Google Places,,,Reservations recommended for large parties,false,year-round
riva-fish-house,Riva Fish House,"Low-key establishment serves hearty portions of prawns, oysters & other American seafood favorites.",,Restaurant,30,Indoor,"31 Municipal Wharf, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2cV6UC6Hs2n5zg5fMFgI8AJ0h2ninEdh6KsNy_ZnmBIzQQFFEEquriSdgLpkiABAfv0uE23ra9z5N1VTzQBJrWt6XluwHszQiXapn-uZ3G5CA4gNnd9jMmM4sTT3S_pjbEUjM8fYDU56XnnowOvZzC1KGV6nHIlcOUkrYR6va4aNstYOsTxPe5YvMbFRBBbSkMt_jZxFuIu9D51cPjRWm2djUGSYLllgbzLVz4Bz32ViO2xn-MPC7EfnLlbPkrSRwvla-z7JHQ-5YYeNMem72mWc7AiobT4zasa-0CWKCrteg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9598194,-122.0196306,Santa Cruz,Santa Cruz,,(831) 429-1223,http://rivafishhouse.com/,,,1-2 hours,Monday: 11:00 AM – 8:00 PM; Tuesday: 11:00 AM – 8:00 PM; Wednesday: 11:00 AM – 8:00 PM; Thursday: 11:00 AM – 8:00 PM; Friday: 11:00 AM – 9:00 PM; Saturday: 11:00 AM – 9:00 PM; Sunday: 11:00 AM – 8:00 PM,,,"food,restaurant,dining",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,Reservation recommended for dinner,false,false,,false,4.2,2587,"Riva Fish House - American restaurant in Santa Cruz, Santa Cruz. Low-key establishment serves hearty portions of prawns, oysters & other American seafood favorites.","american, restaurant, santa cruz, santa cruz, dining, food",riva-fish-house,Published,Google Places,,,Reservations recommended for large parties,false,year-round
ideal-bar-grill,Ideal Bar & Grill,Bustling room & bar with American entrees including steamed clams plus cocktails such as margaritas.,,Bar,30,Indoor,"106 Beach St, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2c_3eGGfAKS7e74WtlzPjuoaIDlxIpxY_hd8wI_4lHTV6I1uQJ76QYb-gW82vXktwKCg3TgPrS4Q9JsAPbLd22ehhWETyZoLBwKXon_bEOiwA93didcc35_-enUT_qpBCkjqwh8OSwC_rwdzFqUTzo4mqslTHp5GIr8mbl4viLt3_55z5alCs7FMwscKzHulRyrqU6DggQj0YbA0gHnGEz4Sr3VfcK4S4vnYU8thFh3uXcK9Ln1BHHg43-a6SMGMFFG_K9__nUQ9JwXJyTm7y_gaHJtDFlYASjaCwUUMmX26w&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9627127,-122.0232801,Santa Cruz,Santa Cruz,,(831) 423-5271,http://www.idealbarandgrill.com/,,,1-3 hours,Monday: 11:00 AM – 9:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 9:30 PM; Saturday: 9:00 AM – 9:30 PM; Sunday: 9:00 AM – 9:00 PM,,,"food,restaurant,dining,bar,bar,drinks,nightlife",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,Happy hour 4-6 PM,,Reservation recommended for dinner,false,false,,false,4,2867,"Ideal Bar & Grill - Bar restaurant in Santa Cruz, Santa Cruz. Bustling room & bar with American entrees including steamed clams plus cocktails such as margaritas.","bar, restaurant, santa cruz, santa cruz, dining, food",ideal-bar-grill,Published,Google Places,,21+,Great for groups,false,year-round
the-hideout,The Hideout,Californian cuisine & cocktails served in a cozy 1930s cottage with heated outdoor seating.,,Restaurant,30,Indoor,"9051 Soquel Dr, Aptos, CA 95003, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2dAqkE7hP9HBTPyVLDOdZ3PglPJgHU97lzVvQL3WLzqVdTdaG_CiiqFPcvjzJfU1BDgjRCdHU9lYpajpfVa-x_czsHdyNYpYSrZKwC8GpYUp7nhSfywDhLId7e8j9-52FdlTIXXmiqp0ark_et81Nw6dvJM_JYKhAZzLNL7DFF-4C7pEGA9U4TLVEsfhGxSW33FfuBBD7tD5l5r9lx0K4fo79D7P8WI1swe8j6chrr6OIAr-KylaLUxj1PZIJcoZZAS1THhuQLl3wICx7dzR1JL3WS9Avx3yuYHER6cPESPJjb2IRlba7STitDPCh2dWbPXxF9gUygJB37X1xc1eZb6F7DaW3HK2iAWukkncMRzdaUdCUeHDLg1CNSG-_zgAGfRcQyLijkAYXNFZ74Nn38NjVUX1c-aKNzV_0NRpCVz-jI&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9761143,-121.8910977,Aptos,Santa Cruz,,(831) 688-5566,http://www.thehideoutaptos.com/,,,1-2 hours,Monday: 11:30 AM – 9:30 PM; Tuesday: 11:30 AM – 9:30 PM; Wednesday: 11:30 AM – 9:30 PM; Thursday: 11:30 AM – 9:30 PM; Friday: 11:30 AM – 9:30 PM; Saturday: 11:30 AM – 9:30 PM; Sunday: 11:30 AM – 9:30 PM,,,"food,restaurant,dining",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,Reservation recommended for dinner,false,false,,false,4.6,986,"The Hideout - American restaurant in Aptos, Santa Cruz. Californian cuisine & cocktails served in a cozy 1930s cottage with heated outdoor seating.","american, restaurant, aptos, santa cruz, dining, food",the-hideout,Published,Google Places,,,Reservations recommended for large parties,false,year-round
mad-yolks-pacific-ave,Mad Yolks - Pacific Ave,Mad Yolks - Pacific Ave in Santa Cruz. American cuisine with moderate prices.,,Restaurant,30,Indoor,"1411 Pacific Ave, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2cRiJZkIqMXhZydt2K0qd7U9FonKYvckM2YoSL2fuwQdjvi2o4tw9ITwYCNBmNCn926NtSSbxhNbt1mLX2gRO9V-4r8doRm07v__Otz_vvE9U7AOx7kD0T8BXNjnvtwP0NxJshy1_WJvvWVAE9O5_GhO4AJRW6DSBsLmfNYQIaU7J0JHIuA7iiGt4IEdAEXkn-oNoQajvo2dqxanQfHJV2frKJUCJhiyn4Ebf9Su6lMObCxtYMDulgl77NVAoziwIZ73YC0mxLPXN3Jg2Wen1QCvip8Yyf6UZi7WuFS6YmDvg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9750378,-122.0266371,Santa Cruz,Santa Cruz,,(831) 291-3686,https://www.madyolks.com/,,,1-2 hours,Monday: 8:00 AM – 3:00 PM; Tuesday: 8:00 AM – 3:00 PM; Wednesday: 8:00 AM – 3:00 PM; Thursday: 8:00 AM – 3:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: 8:00 AM – 4:00 PM,,,"food,restaurant,dining",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,Reservation recommended for dinner,false,false,,false,4.6,491,"Mad Yolks - Pacific Ave - American restaurant in Santa Cruz, Santa Cruz. Great food and atmosphere.","american, restaurant, santa cruz, santa cruz, dining, food",mad-yolks-pacific-ave,Published,Google Places,,,Reservations recommended for large parties,false,year-round
humble-sea-brewing-co,Humble Sea Brewing Co.,"Place to sample the brewery's main beers & seasonal releases, with nautical accents & a patio.",,Bar,30,Indoor,"820 Swift St, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2dN3IBIPTu9dvYWkyzw56sdY95JQ-b-UzVJehJuiwXt4BdKsR3Pq8MkvpdLsGgpXQHUWl_AATgzW3uSnL3FDEcL1KPBmOoSl3Go5vEl82YMtgaYadQ5XUDX_Xi-BsZL9JUYO5ESPqjgBnXB3CzufFi46cKDFdFKxhj8aMHoOc7MIm8LMfAP76So44ECoOIJtot7pEo8ayX6PN6q8MWpD0rPxnT_AgRb_LmBd-6CRVR_8W5UDHKX6wADZ-lFCU6O83RQVYgRTF6KBMzJGTO30XtwNvXX0LKszO1M0fs5q-hyX9hur7pwv8rKKhZU5GWNXEd1wURDJZ1uNDOcvKDHbLUSpqmo5VVZ08pbKPTnGe9Hl6cwWDmNBGO8t0GS12FbGdiGvj7BiqDm8uO4WFrqQr-M_dUo5WNRa_aO9GezonYgiw&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9596304,-122.0488182,Santa Cruz,Santa Cruz,,(831) 621-2890,http://www.humblesea.com/,,,1-3 hours,Monday: 11:00 AM – 9:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 9:00 PM; Saturday: 11:00 AM – 9:00 PM; Sunday: 11:00 AM – 9:00 PM,,,"food,restaurant,dining,bar,bar,drinks,nightlife",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,Happy hour 4-6 PM,,Reservation recommended for dinner,false,false,,false,4.6,651,"Humble Sea Brewing Co. - Bar restaurant in Santa Cruz, Santa Cruz. Place to sample the brewery's main beers & seasonal releases, with nautical accents & a patio.","bar, restaurant, santa cruz, santa cruz, dining, food",humble-sea-brewing-co,Published,Google Places,,21+,Great for groups,false,year-round
gabriella-caf,Gabriella Café,"Small spot complete with a warm, romantic vibe offers carefully sourced, inventive Italian eats.",,Restaurant,30,Indoor,"910 Cedar St, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2fZ9I5ad8gG5znySWWGvfIt2s-JX3tDeoOvW7OpWxvYDwQLz7zjhkym65w3otO8ZhjGx8wdoJJCLUnZcxfhIUyc6Am3CN0xloXKz7urGPGn19wb9GgrbPj9ACJu5l_dB0rZTmBMgw_i7Fm4EhG-NpDCstuSXXAyzqNUTBkmZ39vRkx2SCkEC4SrwscIZZvOziYDAMebcRhPt6Xv9N4BrlIESqT5wmJz8tYPZx0YQv7r5MLoSohFHhIeHm9SZ5lGvxWh-YpLKIfjp3PMfQVH968ez92p6ybOBYocO2hRhYp3487yNTnaGvC09ESK1XvFXX-a_Uyyx0Wz8qRNk1ONJYlIwzwNtlz1Cigr4ByFMiUNMCyRdvM7fJxSgLUb1b_mewIhVJO8PVXPsTj_aJX1q8DEiOIVsPPy3D3KR5U9VVmgvvTV&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9746917,-122.0275139,Santa Cruz,Santa Cruz,,(831) 457-1677,http://gabriellacafe.com/,,,1-2 hours,"Monday: Closed; Tuesday: 11:30 AM – 2:30 PM, 5:00 – 8:30 PM; Wednesday: 11:30 AM – 2:30 PM, 5:00 – 9:00 PM; Thursday: 11:30 AM – 2:30 PM, 5:00 – 9:00 PM; Friday: 11:30 AM – 2:30 PM, 5:00 – 9:00 PM; Saturday: 10:00 AM – 2:30 PM, 5:00 – 9:00 PM; Sunday: 10:00 AM – 2:30 PM",,,"food,restaurant,dining",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,Reservation recommended for dinner,false,false,,false,4.4,401,"Gabriella Café - American restaurant in Santa Cruz, Santa Cruz. Small spot complete with a warm, romantic vibe offers carefully sourced, inventive Italian eats.","american, restaurant, santa cruz, santa cruz, dining, food",gabriella-caf,Published,Google Places,,,Reservations recommended for large parties,false,year-round
bedda-mia,Bedda Mia,Bedda Mia in Santa Cruz. American cuisine with moderate prices.,,Restaurant,30,Indoor,"736 Water St, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2cSdb9MyZyb7Q-UtJT-eYT01gCiv47QLnF5O23_nc0iNqucYRbn3uEr5ik6OFjKH6F6tOpbU_17GgZnvxdoSZnnUA-RmfOoE5sgZtistz27fRUIP0K-CH2E6f1mVG0GNnyA8utuvdDTRYT_XGLmEnFLWG0gHXvJ9YAZDHu9ZiU1_nq6xzSpFf6RaiyDTW0CpYuKIFDXBQK9c918XuBoEF6SmSsXAYv0pyrMT9WCtrv8pIfy-MOKL6cRsfv1mW8x-YE-FsEWvBOzQWdQxJLPlnFPpN1c2KBMZkTEXB-Bc4Mn6_fxONkWpWKSmgkEI4jqab0-aofEloHcHMVidWXkQyV63aMxKDLHAAk6Nblqzy1SGpC0nORXzMUfvcGmq2epGQSTXgnnBtrrQC10zD78kFRZkPtPRsJ1K1Kb27L1fypg6A&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9809181,-122.0159187,Santa Cruz,Santa Cruz,,(831) 201-4320,https://beddamiarestaurant.com/,,,1-2 hours,"Monday: 11:00 AM – 3:30 PM, 4:00 – 9:00 PM; Tuesday: Closed; Wednesday: 11:00 AM – 3:30 PM, 4:00 – 9:00 PM; Thursday: 11:00 AM – 3:30 PM, 4:00 – 9:00 PM; Friday: 11:00 AM – 3:30 PM, 4:00 – 9:00 PM; Saturday: 11:00 AM – 3:30 PM, 4:00 – 9:00 PM; Sunday: 11:00 AM – 3:30 PM, 4:00 – 9:00 PM",,,"food,restaurant,dining",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,Reservation recommended for dinner,false,false,,false,4.6,171,"Bedda Mia - American restaurant in Santa Cruz, Santa Cruz. Great food and atmosphere.","american, restaurant, santa cruz, santa cruz, dining, food",bedda-mia,Published,Google Places,,,Reservations recommended for large parties,false,year-round
