ID,Name,Description,WriteUp,Category,Cost,IndoorOutdoor,Address,PhotoURL,Latitude,Longitude,Neighborhood,City,ZipCode,Phone,Website,Instagram,Email,Duration,Hours,ParkingInfo,PublicTransit,Tags,KidFriendly,PetFriendly,Accessibility,WeatherPreferences,RainOk,IdealTempMin,IdealTempMax,WindSensitive,RequiresGoodVisibility,WeatherBoost,TidePreference,TideCritical,Tips,BestTimeToVisit,BestFeature,WhatToBring,StaffPick,Featured,Priority,Sponsored,Rating,ReviewCount,MetaDescription,Keywords,Slug,Status,Source,Difficulty,AgeRestriction,GroupSize,ReservationRequired,SeasonalAvailability
santa-cruz-yoga,Santa Cruz Yoga,Santa Cruz Yoga offers yoga classes in Santa Cruz. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"402 Ingalls St #11, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2ckQOe4t0dmPYsJNWjlBFZoZ8d0tM-yJ00SOYjV5HAPmoSWSiAAfodXd31KWnPR7D0EBl_CnnNHMs9F3f84wdA06locIDA2gFlNjoQpp59M-BmYXUtpkKmeYe_JJnI6c2gB4G7P9_hiVDyQi-Y1YMFcubWhQ-koQZEP4gLnSuG4llQlX3LPAEwvSumlrvT7SroQWixbXldJyhukV9lsclu0dMQL5IdnU2b-lED6oL0UELvr5LluUeyTT41rxolPKS7rFYc2OLP6wX1_bwtShdSCkaprKt4E7TYyia3ulnvRIg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9590032,-122.0486892,Santa Cruz,Santa Cruz,,(831) 227-2215,http://www.santacruzyoga.net/,,,45-60 minutes,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,4.4,32,"Santa Cruz Yoga - Yoga in Santa Cruz, Santa Cruz. Vibrant center offering yoga in a variety of levels & styles, including Vinyasa, Yin & restorative.","yoga, wellness, santa cruz, santa cruz, fitness, health",santa-cruz-yoga,Published,Google Places,All Levels,,Classes available,false,year-round
village-yoga-santa-cruz,Village Yoga Santa Cruz,Village Yoga Santa Cruz offers yoga classes in Soquel. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"718 Soquel Ave, Santa Cruz, CA 95062, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2euNFk4t7bALiOmV4m4j8y2-FInpxrsjVdWhIwLjTHDqa6paW_GD4E7JLqONihpKD9VsQPeEloeD4p1FfMfbco2VClH9yJJUguSFJbpEkSyZ6I0hoNXjOI1YUNBD2bcoYgxs-JtBZFd_fQA01b2glKv4uwjaIA9U1zTK_Y5BmxJdgumZJKrL5TI-_5OQOtkmPMl7b8273JMql4vOvg2G-etopbh6WmBvEHTLImUYBjuUDBhp49i_mtO7k393cALCdHu41g7KheDzpLy9zA1zyrq4L8GxdjUrmziP7M1OzI-9w&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9771276,-122.0151924,Soquel,Santa Cruz,,(831) 400-6362,http://www.villageyogasantacruz.com/,,,45-60 minutes,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 7:30 PM; Saturday: 8:00 AM – 5:30 PM; Sunday: 8:00 AM – 5:30 PM,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,4.8,27,"Village Yoga Santa Cruz - Yoga in Soquel, Santa Cruz. Hot yoga classes for teens & adults in an upbeat center with showers & changing rooms.","yoga, wellness, soquel, santa cruz, fitness, health",village-yoga-santa-cruz,Published,Google Places,All Levels,,Classes available,false,year-round
pleasure-point-yoga,Pleasure Point Yoga,Pleasure Point Yoga offers yoga classes in Santa Cruz. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"3707 Portola Dr, Santa Cruz, CA 95062, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2dvbjkXd0d7JtRI1fAtfEuOfHD2R0q-w5_DaR4slK_v8w32Uw3IHwdbt1TYVbnruW78ai5D6sbhYq4EpSAATJwzJIoJXur4MkvxgV19rVdMaw7W1gwqDY4WJ2Kg7Ov17zJVnfjUaQ9rVJuMGrooe2R4oEAWm3RFqCXeNK6GPBdJYsMdVtfY1ehY4xLdllSeiEzrcII-JetRaDIPn2-er1YXyp5D4Sqf7011pCYLfIvOhN2HSeLzEINzsUwNO2B8ihKKPSsCTiJx-HACSL8EAnKjo7tKQyDjTITn6d3_on2FEg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9639507,-121.9680886,Santa Cruz,Santa Cruz,,(831) 479-9642,https://www.pleasurepointsanctuary.com/,,,45-60 minutes,Monday: 7:00 AM – 8:30 PM; Tuesday: 7:00 AM – 8:30 PM; Wednesday: 7:00 AM – 8:30 PM; Thursday: 7:00 AM – 8:30 PM; Friday: 7:00 AM – 8:30 PM; Saturday: 8:00 – 11:30 AM; Sunday: 8:00 – 11:30 AM,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,4.7,15,"Pleasure Point Yoga - Yoga in Santa Cruz, Santa Cruz. Professional wellness services.","yoga, wellness, santa cruz, santa cruz, fitness, health",pleasure-point-yoga,Published,Google Places,All Levels,,Classes available,false,year-round
hot-yoga-toadal-fitness,Hot Yoga Toadal Fitness,Hot Yoga Toadal Fitness offers yoga classes in Westside. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"2931 Mission St, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2csXrZ-j_EFeSYoVKg_0jdTSQmi0JTHwp9aAibgGkqoPZR9il9V8X-J4TjB8PumAd-bvUG4tu9zh3Bz-hPWvtmb05iIRjCCsbkFg12Ei7n4-vntj_xanNg2kB4vVJcF0Lyn4eZcwzLLZy0QkYiSsA_PVtwle6j6BnDYNelatrg625mSkey42CdtEYilaiNOABj2R_3ZbX_MlRHYzsZP4S1x-VSHmSOIYV3zIziqk4QOeTBoPe3ZWP8Kcpdau5tnofWL0qOTvE--BMWnsKh1VKfC0pV9MBXU40kZCgh9fHEiQg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9590669,-122.0586274,Westside,Santa Cruz,,(206) 734-7424,https://www.toadalfitness.com/hot-yoga,,,45-60 minutes,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,5,13,"Hot Yoga Toadal Fitness - Yoga in Westside, Santa Cruz. Professional wellness services.","yoga, wellness, westside, santa cruz, fitness, health",hot-yoga-toadal-fitness,Published,Google Places,All Levels,,Classes available,false,year-round
breathoneness-yoga,Breath+Oneness Yoga,Breath+Oneness Yoga offers yoga classes in Capitola. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"708 Capitola Ave, Capitola, CA 95010, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2cizbk3eFz_byLNNDUUBV_PlWQmwTE03aHZSSUCmc0YtFUBdNA5iZAOSiwQUKG6p54dS7ud_wZzqGsLOgjOgf107VVfrndhgoIRUnrTZw3VAokHUR3j7-1Qi419TV5Zw_Dj-X7zdF1kyeu-t1texapihsLmp8X8LIqImNu84l-zDYivsRMR8A_2dc3i-hGO9VIrJF46_5DRh1ZGLBmHOrgh18CBclpkj9NMKRg6ySF-2DjI8bRCKX8CTRWevaMM39JqoVhukV-uLmLtPVHkhPKxG4SViY1kVZ79r2vYmdVm7Q&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9793835,-121.9527062,Capitola,Santa Cruz,,(831) 515-7001,http://www.breathandoneness.com/,,,45-60 minutes,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,4.9,50,"Breath+Oneness Yoga - Yoga in Capitola, Santa Cruz. Professional wellness services.","yoga, wellness, capitola, santa cruz, fitness, health",breathoneness-yoga,Published,Google Places,All Levels,,Classes available,false,year-round
yoga-center-santa-cruz,Yoga Center Santa Cruz,Yoga Center Santa Cruz offers yoga classes in Seabright. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"1620 Seabright Ave, Santa Cruz, CA 95062, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2c5ScdQpnvPBpqB_9xp1Z-763R6eOVtcYsGJtXsaC7B6GM9NyhAceyayKL5x7B8kjob6wKrmyn4KBl_s8SuH8slRrSNX9rjIOPvDWjPzt8pa3_iY5lOlMunHG7ujPzLvbW6dVNplFtFGnH3DDhxazh-q3u8NBD3PTlx4jzuge_2PTmmCFLHdc0GM8MWmwLvGUTClE51GtpA9BihH2x0zigZ4k0Yk3EY3i4pTlAojkHdmC7bPt84K1RTWgAKrHA61xWxdDaBqKsIuCo-NbQdLNG_ZRsXZyw_ePqlA7wUGU4T5A&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9793419,-122.0095984,Seabright,Santa Cruz,,,https://www.yogacentersantacruz.com/,,,45-60 minutes,,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,5,8,"Yoga Center Santa Cruz - Yoga in Seabright, Santa Cruz. Professional wellness services.","yoga, wellness, seabright, santa cruz, fitness, health",yoga-center-santa-cruz,Published,Google Places,All Levels,,Classes available,false,year-round
green-magic-yoga,Green Magic Yoga,Green Magic Yoga offers yoga classes in Santa Cruz. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"738 Chestnut St, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2exVNLzDamJfQNF06X_JDhtgsOyOjeY56RzTgZqjlSqGDYfp9xqQvph8TjN5yuqTC608lAv2h6_JJLLPv_O46WAmUPGL-XD0iie350YsKkIujdj5OOLe2yxohwoLjgxiFXl-beMOyPGklKOk3oWPXPTdkfOady4mx-7js6ayP0Z8xEnC9jaQYPlio_pgYrnGvn5x-iijRx4VlzwA9dyUE8jIu2DrHxQokIiKvFKhV0UTGlFTBOtfzWFCLJAbwqgiPkolc43ym8TyHw-uLuTHN8RS2xbI4QMbXtpc2GdmZ608h_Ud4qWrcqWvQKmz3cf6B2C9Rf7hcTZd2j9vOiZMQZ3-2tiRjsojgTD_-tjxOjiDwxdjK6sE28RRu80kAWuc9eYQvXkKqRFz6-FsES-PDIFg0Efsk6lc1BzjRvVpHN8ENBJ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9760365,-122.0293825,Santa Cruz,Santa Cruz,,(415) 545-8484,http://www.greenmagicyoga.com/,,,45-60 minutes,,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,5,9,"Green Magic Yoga - Yoga in Santa Cruz, Santa Cruz. Professional wellness services.","yoga, wellness, santa cruz, santa cruz, fitness, health",green-magic-yoga,Published,Google Places,All Levels,,Classes available,false,year-round
hot-elevation-studios,Hot Elevation Studios,Hot Elevation Studios is a budget-friendly fitness center in Capitola. Complete gym facilities and equipment.,,Gym,50,Indoor,"1440 41st Ave suite e, Capitola, CA 95010, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2cgtmFIbqGQpTU6_dwtk45wrJVVq51iofdu_RXkIjvYSOWIr08gOOFC5iAzuyaI2QDamCL6eWsCuVuErNNOqwRuw353IbM4uoHXTqt0rMgsETXdsk1Cdz94h-Gx5malSJ0t2l7JKh1aZu2XrTLW7b9XdvjS-gHbNdHlgsgNjQXTJpEPCfK8JO0q_bPOjPyO3SB1GsD920h8dpI4UCcTnb2LHXQOYXuCiADmQhVfX5EnZALUNFVoDGc1Qz9FMFDBlhS8x8FD1EHTVHgupVjpyp9RQFff4uQG6Fls3Gns8aNELg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9717689,-121.964419,Capitola,Santa Cruz,,(831) 332-9543,https://hotelevationstudios.com/,,,Varies,"Monday: 6:00 AM – 1:00 PM, 4:00 – 7:30 PM; Tuesday: 6:00 AM – 1:00 PM, 4:00 – 7:30 PM; Wednesday: 6:00 AM – 1:00 PM, 4:00 – 7:30 PM; Thursday: 6:00 AM – 1:00 PM, 4:00 – 7:30 PM; Friday: 6:00 AM – 1:00 PM, 4:00 – 6:15 PM; Saturday: 7:00 AM – 1:00 PM; Sunday: 8:00 AM – 1:00 PM, 4:00 – 6:30 PM",,,"wellness,health,fitness,self-care,gym,workout,strength-training,cardio,weights,classes,group-fitness,personal-training,1-on-1",false,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,Early morning or evening,,"Workout clothes, water bottle, towel",false,false,,false,4.3,29,"Hot Elevation Studios - Gym in Capitola, Santa Cruz. Professional wellness services.","gym, wellness, capitola, santa cruz, fitness, health",hot-elevation-studios,Published,Google Places,,16+,1-on-1 sessions,false,year-round
west-cliff-yoga,West Cliff Yoga,West Cliff Yoga offers yoga classes in Santa Cruz. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"1010 Fair Ave, Santa Cruz, CA 95060, USA",,36.9589963,-122.0453145,Santa Cruz,Santa Cruz,,(408) 348-1915,https://westcliffyoga.com/,,,45-60 minutes,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,5,3,"West Cliff Yoga - Yoga in Santa Cruz, Santa Cruz. Professional wellness services.","yoga, wellness, santa cruz, santa cruz, fitness, health",west-cliff-yoga,Published,Google Places,All Levels,,Classes available,false,year-round
estrella-collective,Estrella Collective,"Estrella Collective is a wellness facility in Santa Cruz, Santa Cruz.",,Wellness Center,30,Indoor,"175 Walnut Ave suite a, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2dpguWqQvYLAws-SSJ0lACU__IyyrII898RC0dLWfAMtFmdhCvD514kc5KoWP_1P7ByhQRulBZ2CEV7IWZb5DAHxlwAaBWTlVGJI09R9WJySaWTyyEg39iKBxdU375Eb2_JAXTYo87DJ1Pa00R2fziKBl8vcyOAYB_pBA1zI_YH8JBzG09aGYVE3E_892EfJn3SkdIho3d24cW4TT70nrdO6Fwayv6f9PI10B54C9LKeP-d4x4AL2I_UjYFu5EntyykG-t-WP-XlkRXtm6fdcgMHq3lJgd3L4I7KQdnulYbmA&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9729668,-122.0277214,Santa Cruz,Santa Cruz,,(831) 295-7123,http://www.estrellacollective.com/,,,45-60 minutes,,,,"wellness,health,fitness,self-care,classes,group-fitness",false,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,,false,false,,false,5,36,"Estrella Collective - Wellness Center in Santa Cruz, Santa Cruz. Professional wellness services.","wellness center, wellness, santa cruz, santa cruz, fitness, health",estrella-collective,Published,Google Places,,,1-on-1 sessions,false,year-round
anahata-hot-yoga-wellness-center,Anahata Hot Yoga & Wellness Center,Anahata Hot Yoga & Wellness Center offers yoga classes in Santa Cruz. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"6264 CA-9, Felton, CA 95018, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2ekAbND1bC_8qHyh6ccWTYgMtuFyKXU29rRbeXNDRwPv3Scy-UI8BW5QcXQYY9aTEYumY5dCwFAi5QTnTiOGz4JOhu9-eR9vfrueogOLKZA7ZEuIy9irO0_vTs9VbTW6YnQzCOQlRSZuHbL73Rp7fxrD3SyT6rR7_iy9g66eHsrU76EUIoM6ZvdVYJR4rwK0KfkPsY4qIYAPz7VFUVYmdwMoqLjV471v_nFgSSmWCjKoUTAzI2eO4-zhdD3ArOucS-Lf1pMqb6uzlUONUPT3MpWMbXfdJ-nIuz9Edz7KkvFmg&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,37.0524109,-122.0729808,Santa Cruz,Santa Cruz,,(831) 216-6423,https://www.anahatayoga.center/,,,45-60 minutes,Monday: 6:15 AM – 8:00 PM; Tuesday: 8:45 AM – 8:30 PM; Wednesday: 6:15 AM – 8:00 PM; Thursday: 8:45 AM – 8:30 PM; Friday: 6:15 AM – 7:00 PM; Saturday: 7:45 AM – 7:00 PM; Sunday: 7:45 AM – 9:00 PM,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,5,53,"Anahata Hot Yoga & Wellness Center - Yoga in Santa Cruz, Santa Cruz. Professional wellness services.","yoga, wellness, santa cruz, santa cruz, fitness, health",anahata-hot-yoga-wellness-center,Published,Google Places,All Levels,,Classes available,false,year-round
santa-cruz-somatic-bodywork-yoga,Santa Cruz Somatic Bodywork & Yoga,Santa Cruz Somatic Bodywork & Yoga offers yoga classes in Santa Cruz. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"108 Locust St, Santa Cruz, CA 95060, USA",,36.9753757,-122.0270044,Santa Cruz,Santa Cruz,,(510) 541-6740,http://www.santacruzsomaticmassage.com/contact/,,,45-60 minutes,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: Closed,,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,5,6,"Santa Cruz Somatic Bodywork & Yoga - Yoga in Santa Cruz, Santa Cruz. Professional wellness services.","yoga, wellness, santa cruz, santa cruz, fitness, health",santa-cruz-somatic-bodywork-yoga,Published,Google Places,All Levels,,Classes available,false,year-round
sol-hot-yoga,Sol Hot Yoga,Sol Hot Yoga offers yoga classes in Scotts Valley. Affordable yoga studio with experienced instructors.,,Yoga,20,Indoor,"230 Mt Hermon Rd D, Scotts Valley, CA 95066, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2e-3iXtYQTI4PLH61a20wr5GPsdfkbqlcJWjaIsk7eJ4CXwMWEbFfY2jbWT0A1XI8dQV3DF9pgGl9ILAnyv_3DBOxmKqbRGeqz6JAAr8170iQsqQu_ClsLQXH4YIKmPbTlYQPDIut7xh7FdyHiqBBpILgbQ5HfZCq7TWYzhogMBE40-pnQ103HFGdjJfMr0rNJf35mcrLLbVXeQctRRcCfmiWf_PMLqOoMhDLdo0i9aUtKKuHp2qLfohHiHULdFfgtOdE3ei3ZjBjeWKPCJpGDP2lkDNJ5kT6VGipQ_nQRLnA&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,37.0484837,-122.0262518,Scotts Valley,Santa Cruz,,(831) 515-7000,http://solhotyogasv.com/,,,45-60 minutes,"Monday: 7:30 AM – 12:45 PM, 4:00 – 8:30 PM; Tuesday: 7:30 AM – 1:00 PM, 4:00 – 8:30 PM; Wednesday: 7:30 AM – 12:45 PM, 4:00 – 8:30 PM; Thursday: 9:00 AM – 1:00 PM, 4:00 – 7:15 PM; Friday: 7:30 AM – 1:00 PM, 5:00 – 6:00 PM; Saturday: 7:00 AM – 1:00 PM; Sunday: 9:00 AM – 1:00 PM, 4:00 – 6:15 PM",,,"wellness,health,fitness,self-care,yoga,mindfulness,flexibility,stretching,meditation,classes,group-fitness",true,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,,,"Yoga mat, water bottle, comfortable clothing",false,false,,false,5,28,"Sol Hot Yoga - Yoga in Scotts Valley, Santa Cruz. Professional wellness services.","yoga, wellness, scotts valley, santa cruz, fitness, health",sol-hot-yoga,Published,Google Places,All Levels,,Classes available,false,year-round
spenga-santa-cruz,SPENGA Santa Cruz,SPENGA Santa Cruz is a budget-friendly fitness center in Soquel. Complete gym facilities and equipment.,,Gym,50,Indoor,"335 Soquel Ave, Santa Cruz, CA 95062, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2dilpNwDhIDey2HJlsvfnwOxrhxq3nim5ZIp0r7BvSzoXNt0-qm_ROJq9vSi0tPb008visnFesL8MzuG5NK4KjYnq_WaETVCHnZ2KK7NkCspY9sGvR97FmbIJ18P__oBNBvglBX8jVjM--OvBWrEXhM34TP3C7q4OV2f0CkkwPOmVBgeljVlaQizLggX9LU-Gtktd67ghEo4FcH9HCV7Y3Az1dROO9IazIPWWPZqQ88GEzC545AQ1lS2-mmhS9TkwE-R8FCq6hYxztUv_hW_mqXaDxVtFMR7-aE5kQb7Kl2eQ&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9746514,-122.0199458,Soquel,Santa Cruz,,(831) 227-2130,https://spenga.com/locations/santa-cruz/,,,Varies,Monday: 5:30 AM – 7:30 PM; Tuesday: 5:30 AM – 7:30 PM; Wednesday: 5:30 AM – 7:30 PM; Thursday: 5:30 AM – 7:30 PM; Friday: 5:30 AM – 7:30 PM; Saturday: 5:30 AM – 7:30 PM; Sunday: 7:00 AM – 12:00 PM,,,"wellness,health,fitness,self-care,gym,workout,strength-training,cardio,weights,classes,group-fitness,personal-training,1-on-1",false,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,Early morning or evening,,"Workout clothes, water bottle, towel",false,false,,false,4.8,76,"SPENGA Santa Cruz - Gym in Soquel, Santa Cruz. Professional wellness services.","gym, wellness, soquel, santa cruz, fitness, health",spenga-santa-cruz,Published,Google Places,,16+,1-on-1 sessions,false,year-round
agile-monkey-movement-lab,Agile Monkey Movement Lab,Agile Monkey Movement Lab is a budget-friendly fitness center in Santa Cruz. Complete gym facilities and equipment.,,Gym,50,Indoor,"303 Potrero St Suite 47-103, Santa Cruz, CA 95060, USA",https://maps.googleapis.com/maps/api/place/photo?maxwidth=1200&photoreference=AciIO2cxhrJw_dDU4qsroC5-jier7SXJ_kUnZDb27J5WM40HF2d75AaEp0NvQk7HeStNx-qHyIVhJfmzgQdVG_XejnwWtRxtLKI9W9MKpIKebWBpJOynsndXKvuSRc3RNn_QidXLyg4mP5hvblNYEVxUHWcw1CbZMsS6sxNpAriNHqBQzUenXLsOFu-V0uNDPBj5Y6fcr09S2Qfr-nWgevXm6bSygtTz3InWe-0VD3UKnLoPb1kLxmO8h5CZxGr3IDQxhz4QbFzwgyfyMs4eSxPyCv6uPYK3yA4hT7fDF-inqzHd-w&key=AIzaSyAvYrDzM-nkvO31l6yReM9py8xvxoy5WxI,36.9806384,-122.0315029,Santa Cruz,Santa Cruz,,,http://www.agilemonkey.net/,,,Varies,,,,"wellness,health,fitness,self-care,gym,workout,strength-training,cardio,weights,classes,group-fitness,personal-training,1-on-1",false,false,,"any,rainy,sunny,cloudy,foggy",true,40,100,false,false,1,,false,,Early morning or evening,,"Workout clothes, water bottle, towel",false,false,,false,4.7,13,"Agile Monkey Movement Lab - Gym in Santa Cruz, Santa Cruz. Bright, low-key studio specializing in classical Pilates classes, plus CoreAlign & private training.","gym, wellness, santa cruz, santa cruz, fitness, health",agile-monkey-movement-lab,Published,Google Places,,16+,1-on-1 sessions,false,year-round
