Name,Address,Phone,Website,Rating,PriceLevel,Types,Hours,PlaceId,Latitude,Longitude
24 Hour Fitness,"1261 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 454-0333,https://www.24hourfitness.com/gyms/santa-cruz-ca/santa-cruz-super-sport?Adb_id=GGL_LOC_ACQ_CDP,4.1,,establishment; gym; health; point_of_interest; spa,Monday: 5:00 AM – 10:00 PM; Tuesday: 5:00 AM – 10:00 PM; Wednesday: 5:00 AM – 10:00 PM; Thursday: 5:00 AM – 10:00 PM; Friday: 5:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJpRpj8RtAjoARS3xmoDE12jk,36.9809013,-122.0090647
Pacific Edge Climbing Gym,"104 Bronson St #12, Santa Cruz, CA 95062, USA",(831) 454-9254,http://www.pacificedgeclimbinggym.com/,4.6,,establishment; gym; health; point_of_interest; store,Monday: 3:00 – 10:00 PM; Tuesday: 6:00 AM – 10:00 PM; Wednesday: 6:00 AM – 10:00 PM; Thursday: 6:00 AM – 10:00 PM; Friday: 6:00 AM – 10:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 9:00 PM,ChIJN8otGaVqjoAR7ylxXTPACNI,36.9679701,-122.0066344
In-Shape Fitness,"1100 41st Ave, Capitola, CA 95010, USA",(831) 276-0153,https://www.inshape.com/gyms/capitola-california-95010?utm_source=G&utm_medium=Local&utm_campaign=Google-Local&utm_source=G&utm_medium=Local&utm_campaign=Google-Local,4.2,,establishment; gym; health; point_of_interest; spa,Monday: 4:00 AM – 11:00 PM; Tuesday: 4:00 AM – 11:00 PM; Wednesday: 4:00 AM – 11:00 PM; Thursday: 4:00 AM – 11:00 PM; Friday: 4:00 AM – 10:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,ChIJu-hdYBMVjoAR7oLJ1WW_zB0,36.9685247,-121.9642857
Capitola Yoga,"620 El Salto Dr, Capitola, CA 95010, USA",(831) 464-1295,https://www.capitolayoga.com/,4.6,,establishment; gym; health; lodging; point_of_interest,Monday: 4:00 – 5:00 PM; Tuesday: Closed; Wednesday: 4:00 – 5:00 PM; Thursday: Closed; Friday: Closed; Saturday: 10:00 – 11:00 AM; Sunday: Closed,ChIJLxHPf58VjoAR4zD3kr1G3yk,36.97588869999999,-121.9444231
Yoga Center Santa Cruz,"1620 Seabright Ave, Santa Cruz, CA 95062, USA",,https://www.yogacentersantacruz.com/,5,,establishment; gym; health; point_of_interest,,ChIJv37_fidAjoARh27PTfQTiWs,36.9793419,-122.0095984
Synergy Dance + Fitness,"9055 Soquel Dr, Aptos, CA 95003, USA",(831) 661-0235,http://www.synergymoves.com/,4.9,,establishment; gym; health; point_of_interest; school,Monday: 9:00 AM – 7:30 PM; Tuesday: 9:00 AM – 7:30 PM; Wednesday: 9:00 AM – 7:30 PM; Thursday: 9:30 AM – 7:30 PM; Friday: 8:00 AM – 4:00 PM; Saturday: 9:00 AM – 12:00 PM; Sunday: 9:00 AM – 12:00 PM,ChIJx1-wSmMWjoARahaEo5XchQs,36.9764974,-121.8903024
Cabrillo Fitness Club,"6200 Soquel Dr, Aptos, CA 95003, USA",(831) 475-5979,https://www.toadalfitness.com/cabrillo-fitness,4.6,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,ChIJa1q1L44VjoARvSSsLy9VVMw,36.9893725,-121.9327302
Breathe Deeply Pilates,"9515 Soquel Dr #102, Aptos, CA 95003, USA",(831) 688-1237,http://www.breathedeeplypilates.com/,5,,establishment; gym; health; point_of_interest,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,ChIJC8iojGEWjoARs0_UG8fN508,36.9754865,-121.8845306
La Madrona Athletic Club,"1897 La Madrona Dr, Santa Cruz, CA 95060, USA",(831) 438-1072,https://lmac.caclubs.com/,4.8,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 9:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,ChIJtcf5o-VAjoARlSrgj1N-pG8,37.02082800000001,-122.02868
Agile Monkey Movement Lab,"303 Potrero St Suite 47-103, Santa Cruz, CA 95060, USA",,http://www.agilemonkey.net/,4.7,,establishment; gym; health; point_of_interest,,ChIJ17qMLCZAjoARR8xuUc-0YTc,36.9806384,-122.0315029
