Title,VenueName,Tags,Cost,Duration,Notes,Address,Phone,Hours,Parking,Tips,IndoorOutdoor,WeatherSuitability,IdealTempMin,IdealTempMax,RainOK,WindSensitive,RequiresGoodVisibility,WeatherBoost,TidePreference,TideCritical
"Natural Bridges Tide Pools","Natural Bridges State Beach","tide-pools,nature,outdoors,beach,photography",0,"1-2 hours","Explore incredible tide pools with sea stars, anemones, crabs, and colorful marine life. Best visited at low tide for maximum viewing.","2531 West Cliff Drive","(831) 423-4609","8am-Sunset daily","$10 parking fee","Check tide schedule before visiting. Visit 1-2 hours before or after low tide for best viewing. Wear non-slip shoes - rocks are slippery! Stay off black rocks covered in algae. Bring sunscreen and water.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy",55,80,No,Yes,Yes,1.5,low-tide,Yes
"Natural Bridges Beach Walk","Natural Bridges State Beach","beach,walking,nature,outdoors,free",0,"30min-1 hour","Beautiful beach with iconic natural bridge rock formation. Great for sunset walks and monarch butterfly migrations in winter.","2531 West Cliff Drive","(831) 423-4609","8am-Sunset daily","$10 parking fee (free after 5pm)","Visit during monarch season (Oct-Feb) to see thousands of butterflies. Sunset views are spectacular. Free parking after 5pm!",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast",50,85,Yes,No,No,1.2,any-tide,No
"West Cliff Drive Walk","West Cliff Drive","walking,scenic,outdoors,free,ocean-views",0,"1-2 hours","Stunning 3-mile oceanfront path from Natural Bridges to the Santa Cruz Wharf. Perfect for walking, running, or biking.","West Cliff Drive (starts at Natural Bridges)","","Open 24/7","Street parking along West Cliff Drive","Best at sunset! Stop at Lighthouse Field, It's Beach, and Steamer Lane. Bring a camera for surfers and sea lions.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,windy",50,90,Yes,No,Yes,1.3,any-tide,No
"Steamer Lane Surf Watching","Steamer Lane","surfing,view,outdoor,free,photography",0,"30min-1 hour","World-famous surf break. Watch pro surfers from the cliff near the lighthouse. Best on big swell days.","Lighthouse Point, West Cliff Drive","","Open 24/7","Lighthouse Field parking lot","Best in winter for big waves. Bring binoculars. Mornings are less crowded. Check surf forecast for best action.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,windy,overcast",45,85,Yes,No,Yes,1.2,any-tide,No
"Its Beach (Dog Beach)","Its Beach","dog-friendly,beach,outdoors,free",0,"1-2 hours","Off-leash dog beach where pups can run free. Beautiful views and friendly community.","2610 West Cliff Drive","","Open 24/7","Street parking on West Cliff","Bring poop bags! Dogs love it here. Can get crowded on weekends. Great dog-watching even if you don't have a pup.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,windy",50,85,Yes,No,No,1.1,any-tide,No
"Cowell Beach","Cowell Beach","beach,surfing,swimming,outdoors",0,"2-4 hours","Santa Cruz's main beach next to the Boardwalk. Gentle waves perfect for beginner surfing and swimming.","501 Beach Street","","Open 24/7","Beach Street parking lots ($2/hr) or Boardwalk lots","Lifeguards in summer. Surf lessons available nearby. Can get crowded in summer. Bathrooms and showers available.",Outdoor,"perfect_sunny,hot_sunny,partly_cloudy",60,95,No,No,No,1.3,high-tide,No
"Santa Cruz Beach Boardwalk","Santa Cruz Beach Boardwalk","amusement-park,arcade,family,boardwalk",3,"3-4 hours","Classic California boardwalk with rides, arcade games, and oceanfront fun. Home to the historic Giant Dipper roller coaster.","400 Beach Street","(831) 423-5590","Open select days, check website","$15 all-day parking in Boardwalk lots","Check website for opening days (not open daily in winter). Free admission, pay per ride or get wristband. Try the corn dogs and garlic fries!",Mixed,"perfect_sunny,hot_sunny,cool_sunny,partly_cloudy",55,95,No,Yes,No,1.4,any-tide,No
"Santa Cruz Wharf","Santa Cruz Wharf","wharf,seafood,walking,views",2,"1-2 hours","Half-mile pier with restaurants, shops, and sea lion viewing. Fresh seafood and beautiful bay views.","21 Municipal Wharf","(831) 420-5270","Open daily, shops 10am-6pm","Parking on wharf ($2/hr) or nearby lots","Look for sea lions under the wharf! Stagnaro's for fresh fish. Riva's for breakfast. Can be foggy in summer mornings.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast,foggy",50,85,Yes,Yes,No,1.2,any-tide,No
"Pleasure Point","Pleasure Point","surfing,beach,walking,cliff-walk",0,"1-2 hours","Prime surf spot with cliff-top walking path. Great views of surfers and coastal scenery.","Pleasure Point Drive, Eastside","","Open 24/7","Street parking on Pleasure Point Drive","Walk the cliff path from 30th to 41st. Best surf-watching at The Hook. Sunset surf sessions are magical.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,windy",50,85,Yes,No,Yes,1.2,any-tide,No
"Henry Cowell Redwoods","Henry Cowell Redwoods State Park","hiking,redwoods,nature,outdoors",2,"2-3 hours","Ancient redwood grove with easy trails. The Redwood Grove Loop Trail is 0.8 miles of pure magic.","101 N Big Trees Park Road, Felton","(831) 335-4598","8am-Sunset","$10 parking fee","Take the Redwood Grove Trail for easiest walk. Cool even on hot days! Bring layers. Often 10-15°F cooler than town.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,hot_sunny",45,95,Yes,No,No,1.4,any-tide,No
"Wilder Ranch","Wilder Ranch State Park","hiking,coastal,outdoors,history",2,"2-4 hours","Coastal hiking with ocean views, historic dairy farm, and miles of trails. Mix of easy and moderate hikes.","1401 Coast Road","(831) 423-9703","8am-Sunset","$10 parking fee","Old Cove Landing Trail is easiest (3 miles). Incredible coastal views. Can be windy! Check for whale watching in winter.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy",50,85,No,Yes,Yes,1.3,any-tide,No
"Pogonip Park","Pogonip","hiking,trails,meadows,nature",0,"1-3 hours","800+ acres of meadows, forests, and trails. Great for casual hikes and picnics.","Golf Club Drive entrance","","Open Dawn-Dusk","Free parking at Golf Club Drive entrance","Easy to moderate trails. Rincon Trail is popular. Can be muddy after rain. Bring water - no facilities on trails.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy",50,85,No,No,No,1.1,any-tide,No
"DeLaveaga Park","DeLaveaga Park","disc-golf,hiking,park",0,"2-3 hours","Disc golf course, hiking trails, and forested park. Local favorite for outdoor recreation.","1505 Branciforte Drive","","Dawn-Dusk","Free parking","World-class disc golf course (challenging!). Hiking trails through eucalyptus grove. Can be foggy/cool.",Outdoor,"perfect_sunny,cool_sunny,partly_cloudy,overcast",50,85,Yes,No,No,1.0,any-tide,No
"Cat & Cloud Coffee","Cat & Cloud Coffee","coffee,cafe,work,indoor,cozy",2,"30min-1 hour","Indie coffee shop with exceptional coffee, friendly vibes, and great atmosphere. Perfect for work or catching up.","1621 Pacific Avenue","(831) 600-7656","7am-6pm daily","Street parking or nearby garages","Often busy - go early or late. Try the cortado or lavender latte. Great for working but can get loud.",Indoor,"light_rain,rainy,foggy,cold,overcast,cool_sunny",,,Yes,No,No,1.2,any-tide,No
"Verve Coffee","Verve Coffee Roasters","coffee,cafe,work,local-roaster",2,"30min-1 hour","Local coffee roaster with multiple locations. Excellent coffee and modern, bright spaces.","1540 Pacific Avenue (Downtown location)","(831) 600-7784","7am-7pm daily","Pacific Avenue garage nearby","Multiple locations (Downtown, Westside, Eastside). Downtown is busiest. 41st Ave is largest with patio.",Indoor,"light_rain,rainy,foggy,cold,overcast,cool_sunny,partly_cloudy",,,Yes,No,No,1.1,any-tide,No
"The Penny Ice Creamery","The Penny Ice Creamery","ice-cream,dessert,local",2,"30min","Artisan ice cream made with local, organic ingredients. Creative flavors and consistently delicious.","913 Cedar Street","(831) 204-2523","12pm-10pm daily","Cedar Street parking lot","Try seasonal flavors! Salted caramel and bourbon vanilla are classics. Often a line - worth the wait.",Indoor,"perfect_sunny,hot_sunny,cool_sunny,partly_cloudy",60,100,Yes,No,No,1.3,any-tide,No
"Marianne's Ice Cream","Marianne's Ice Cream","ice-cream,dessert,classic",1,"30min","Classic ice cream shop with huge portions. Santa Cruz institution since 1947.","1020 Ocean Street","(831) 458-1447","11am-11pm daily","Small lot, street parking","Cash only! Huge servings. Classic flavors. Get the butterscotch topping!",Indoor,"perfect_sunny,hot_sunny,cool_sunny,partly_cloudy",55,100,Yes,No,No,1.1,any-tide,No
"Lúpulo Craft Beer House","Lúpulo","craft-beer,bar,beer-garden",2,"1-2 hours","Craft beer bar with 30+ taps, outdoor beer garden, and chill vibes. Dog-friendly patio.","233 Cathcart Street","(831) 454-8306","12pm-10pm daily","Street parking, Cathedral lot","Rotating taps from local breweries. Dog-friendly patio. Food trucks often on site. Trivia nights!",Mixed,"perfect_sunny,cool_sunny,partly_cloudy,overcast",55,85,Yes,No,No,1.1,any-tide,No
