Name,Cuisine,PriceLevel,Neighborhood,Address,Phone,Website,Instagram,Description,Hours,Parking,BestDish,BestTime,Tips,DineIn,Takeout,Delivery,Outdoor,Reservations,VegetarianFriendly,VeganOptions,GlutenFree
Akira,Japanese,3,Downtown,"1222 Soquel Ave, Santa Cruz, CA 95062",(831) 600-7093,https://www.akirasc.com,@akira_santacruz,"Authentic Japanese cuisine with fresh sushi, ramen, and izakaya dishes. Chef-owned with seasonal specials.","Mon-Thu 11:30am-9pm, Fri-Sat 11:30am-10pm, Sun 4-9pm","Street parking, nearby lot at Soquel & Front",Omakase sushi,Weekday lunch specials,"Sit at the sushi bar for the freshest selections. Make reservations for dinner.",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"The Picnic Basket",American,2,Beach Street,"125 Beach St, Santa Cruz, CA 95060",(831) 427-9946,https://thepicnicbasket.com,@picnicbasketsc,"Farm-to-table café with incredible sandwiches, salads, and baked goods. Secret garden patio out back!","Mon-Fri 8am-4pm, Sat-Sun 8am-5pm","Metered street parking, Beach St lot","Turkey Pesto Sandwich, Lemon Bars",Weekday breakfast,"Ask to sit in the secret garden patio out back! Get there early on weekends.",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Tacos Moreno,Mexican,1,Seabright,"Various locations (food truck)","N/A","N/A","N/A","The best breakfast burritos in Santa Cruz. Cash only, locals line up every morning at their truck locations.","Weekday mornings 7-11am (check Instagram for locations)","Street parking near truck",Chorizo Breakfast Burrito,Weekday mornings 7-9am,"Cash only! They sell out by 11am. Follow on Instagram for daily locations. Worth any wait.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"Lúpulo Craft Beer House",American,2,Downtown,"233 Cathcart St, Santa Cruz, CA 95060",(831) 454-8306,https://www.lupulosc.com,@lupulosc,"Gastropub with 24 rotating craft beers and elevated pub food. Trivia every Thursday.","Mon-Thu 3-10pm, Fri-Sun 12-11pm","Downtown parking garage, street parking","Beer-battered fish tacos, Pretzel bites",Thursday trivia night,"Thursday trivia at 7pm is always packed. Great happy hour 3-6pm weekdays.",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"Betty's Noodles",Pan-Asian,2,Westside,"2839 Mission St, Santa Cruz, CA 95060",(831) 429-8855,"N/A","N/A","Local favorite for pad thai, pho, and Asian fusion. Huge portions, always fresh.","Mon-Sat 11am-9pm, Closed Sun","Free parking lot",Pad Thai with Shrimp,Lunch on weekdays,"Cash only! Portions are huge - consider sharing. Always a wait during dinner rush.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"La Posta",Mexican,2,Seabright,"538 Seabright Ave, Santa Cruz, CA 95062",(831) 457-2782,https://lapostarestaurant.com,@lapostasantacruz,"Authentic Mexican cuisine with amazing moles and traditional dishes. Family recipes.","Tue-Sun 11:30am-9pm, Closed Mon","Street parking, small lot in back","Mole poblano, Chile rellenos",Sunday brunch,"Try the mole - made fresh daily. Weekend brunch is special. Great margaritas!",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Saturn Cafe",Vegetarian,2,Downtown,"145 Laurel St, Santa Cruz, CA 95060",(831) 429-8505,https://www.saturncafe.com,@saturncafe_sc,"24/7 vegetarian diner with vegan options. Retro space-themed décor and creative comfort food.","Open 24 hours, 7 days",Downtown parking structure across street,"Vegan nachos, Saturn burger",Late night after shows,"Open 24 hours! Great for late-night munchies. Everything can be made vegan.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"Bantam",Pizza,3,Westside,"1010 Fair Ave, Santa Cruz, CA 95060",(831) 420-0101,https://www.bantamsantacruz.com,@bantamsantacruz,"Wood-fired pizza and seasonal small plates. Farm-to-table with constantly changing menu.","Wed-Sun 5-9pm, Closed Mon-Tue","Free parking lot, street parking",Margherita pizza with burrata,Happy hour Wed-Fri 5-6pm,"Make reservations! Small space fills up fast. Happy hour pizza deals are excellent.",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"El Palomar",Mexican,2,Pacific Avenue,"1336 Pacific Ave, Santa Cruz, CA 95060",(831) 425-7575,https://www.elpalomarrestaurant.com,@elpalomarsc,"Downtown landmark since 1980. Fresh Mexican food, famous margaritas, and rooftop patio.","Daily 11am-10pm","Downtown parking garages, street parking","Carnitas tacos, House margarita",Rooftop patio at sunset,"Rooftop patio is the best spot in summer. Margaritas are legendary. Can get touristy on weekends.",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Penny Ice Creamery",Dessert,1,Downtown,"913 Cedar St, Santa Cruz, CA 95060",(831) 204-2523,https://thepennyicecreamery.com,@pennyicecreamery,"Small-batch ice cream made with local, organic ingredients. Creative flavors that rotate daily.","Daily 12-10pm","Street parking, nearby lots","Salted caramel, Whatever's seasonal",After dinner walks,"Flavors change daily based on what's fresh. Always a line but it moves quickly. Worth it.",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE

