Title,VenueName,Tags,Cost,Duration,Notes,Website,Instagram,WeatherSuitability,IdealTemp_Min,IdealTemp_Max,IndoorOutdoor,RainOk,WindSensitive,RequiresGoodVisibility,WeatherBoost,Address,Parking,Tips,Phone,TidePreference,TideCritical
"Natural Bridges State Beach","Natural Bridges State Beach","Beach,Nature,Tide Pools,Photography,Sunset",10,2-3 hours,"Iconic natural bridge formation. Best tide pooling at low tide. Monarch butterfly sanctuary (Oct-Feb). Stunning sunsets year-round.","https://www.parks.ca.gov","@naturalbridge_sb","Perfect Sunny,Hot Sunny,Cool Sunny,Partly Cloudy",55,85,Outdoor,FALSE,FALSE,TRUE,1.2,"2531 West Cliff Drive, Santa Cruz, CA 95060","$10 parking fee. Lot fills by 11am on sunny weekends. Street parking on Delaware Ave (free).","Visit 1-2 hours before/after low tide for best tide pools. Arrive before 10am on weekends. October-February for monarchs.",(831) 423-4609,low-tide,TRUE
"Main Beach & Boardwalk","Santa Cruz Beach Boardwalk","Beach,Amusement Park,Arcade,Family,Food",0-50,3-5 hours,"Classic California beach with iconic boardwalk. Free beach access. Amusement rides, arcade, food. Best people-watching in town.","https://beachboardwalk.com","@scboardwalk","Perfect Sunny,Hot Sunny,Partly Cloudy",60,95,Mixed,FALSE,TRUE,TRUE,1.5,"400 Beach St, Santa Cruz, CA 95060","Beach St parking structure ($3/hr). Boardwalk lot ($20/day). Free street parking on side streets (hard to find).","Beach is free! Boardwalk rides require tickets. Go weekdays to avoid crowds. Sunset from the wharf is spectacular.",(831) 423-5590,any-tide,FALSE
"Its Beach (Itso Wetso)","Its Beach","Beach,Locals,Surfing,Dogs,Chill",0,1-3 hours,"Local favorite beach. Dog-friendly. Great surf spot. Less crowded than Main Beach. Chill vibes.","N/A","N/A","Perfect Sunny,Hot Sunny,Cool Sunny,Partly Cloudy,Windy",55,85,Outdoor,FALSE,FALSE,TRUE,1.1,"West Cliff Drive & Bay St, Santa Cruz, CA 95060","Free street parking on Bay St and surrounding streets. Usually easy to find spots.","Dogs allowed off-leash before 10am and after 4pm. Great for sunset. Less touristy than Main Beach. Popular surf break.",,any-tide,FALSE
"Cowell Beach","Cowell Beach","Beach,Surfing,Beginner Surf,Family,Swimming",0,2-4 hours,"Gentlest waves in Santa Cruz. Perfect for learning to surf. Protected cove. Great swimming. Adjacent to wharf and boardwalk.","N/A","N/A","Perfect Sunny,Hot Sunny,Partly Cloudy",60,90,Outdoor,FALSE,FALSE,TRUE,1.3,"350 West Cliff Dr, Santa Cruz, CA 95060","Beach St parking structure. Boardwalk lots. Limited free street parking on West Cliff.","Best place to learn surfing in SC. Richard Schmidt Surf School right there. Calm water for kids. Walk to wharf for lunch.",(831) 420-5270,any-tide,FALSE
"Seabright Beach","Seabright Beach","Beach,Locals,Volleyball,Surfing,Quiet",0,2-3 hours,"Long, wide beach. Less crowded than Main Beach. Great volleyball courts. Good surf. Walk to harbor.","N/A","N/A","Perfect Sunny,Hot Sunny,Cool Sunny,Partly Cloudy",58,88,Outdoor,FALSE,FALSE,TRUE,1.0,"East Cliff Dr & Seabright Ave, Santa Cruz, CA 95062","Free parking lot (fills up on weekends). Additional street parking on Seabright Ave and side streets.","Walk past the jetty for even more solitude. Volleyball nets available. Good for families. Less touristy vibe.",,any-tide,FALSE
"Twin Lakes State Beach","Twin Lakes State Beach","Beach,Kayaking,Walking,Locals,Harbor",0,1-2 hours,"Sheltered beach near harbor. Great for kayaking and SUP. Harbor seals often visible. Connected to harbor by jetty.","https://www.parks.ca.gov","N/A","Perfect Sunny,Hot Sunny,Cool Sunny,Partly Cloudy",60,88,Outdoor,FALSE,FALSE,TRUE,1.0,"7th Ave & East Cliff Dr, Santa Cruz, CA 95062","Free parking lot. Additional street parking on East Cliff Dr. Usually available.","Rent kayaks at nearby Venture Quest. Walk jetty to harbor. Often see harbor seals. Calmer water than ocean side.",(831) 427-4868,any-tide,FALSE
"Capitola Beach","Capitola Beach","Beach,Village,Restaurants,Family,Colorful",0,2-4 hours,"Picturesque village beach. Colorful houses. Esplanade with shops and restaurants. Protected cove. Great for kids.","https://www.cityofcapitola.org","@visitcapitola","Perfect Sunny,Hot Sunny,Partly Cloudy",62,90,Outdoor,FALSE,FALSE,TRUE,1.4,"Capitola Beach, Capitola, CA 95010","Paid lots ($2-3/hr). Limited metered street parking. Consider walking from nearby free parking.","Most Instagram-able beach in SC County. Walk the esplanade. Tons of restaurants. Safer for kids than ocean beaches. Zelda's for pizza!",(831) 475-6522,any-tide,FALSE
"Pleasure Point","Pleasure Point","Beach,Surfing,Walking,Locals,Expert Surf",0,1-2 hours,"Famous surf break. World-class waves. Cliffside walking path with incredible views. Watch expert surfers.","N/A","N/A","Perfect Sunny,Hot Sunny,Cool Sunny,Partly Cloudy,Windy",58,85,Outdoor,FALSE,FALSE,TRUE,1.2,"Pleasure Point Dr, Santa Cruz, CA 95062","Street parking along East Cliff Dr and Pleasure Point Dr. Free but competitive on good surf days.","Expert surf break only! Walk the path for views. Coffee at Pleasure Pizza. Sunset spot. Watch from cliff, not for beginners.",,mid-tide,FALSE
"Manresa State Beach","Manresa State Beach","Beach,Nature,Quiet,Dunes,Surf",10,2-4 hours,"Wide, pristine beach. Sand dunes. Less crowded. Great surf. Feels remote. Popular with locals.","https://www.parks.ca.gov","N/A","Perfect Sunny,Hot Sunny,Cool Sunny",60,88,Outdoor,FALSE,TRUE,TRUE,1.0,"205 Manresa Beach Rd, La Selva Beach, CA 95076","$10 parking fee. Large lot rarely fills. Worth the drive for less crowds.","One of the least crowded beaches. Beautiful sand dunes. Strong surf. Long beach walks. Feels like private beach on weekdays.",(831) 761-1795,any-tide,FALSE
"Lighthouse Field State Beach","Lighthouse Field State Beach","Beach,Surfing,Lighthouse,Views,Walking",10,1-2 hours,"Overlooks famous Steamer Lane surf break. Historic lighthouse. Best surfing views in SC. Coastal walking path.","https://www.parks.ca.gov","N/A","Perfect Sunny,Hot Sunny,Cool Sunny,Partly Cloudy,Windy",55,85,Outdoor,FALSE,FALSE,TRUE,1.3,"Lighthouse Point, Santa Cruz, CA 95060","$10 parking lot. Often full on weekends. Free street parking on West Cliff (competitive).","World-class surf watching! Not for swimming. Bring binoculars. Walk West Cliff path. Sunset surf sessions are epic.",(831) 420-5270,mid-tide,FALSE
