Name,Category,Subcategory,Description,LongDescription,WriteUp,Address,City,State,ZipCode,Phone,Website,Email,Instagram,Facebook,Latitude,Longitude,Neighborhood,CrossStreets,Services,Specialties,Amenities,Equipment,Classes,Programs,PriceLevel,Pricing,Hours,HolidayHours,BestTime,PeakHours,IndoorOutdoor,Parking,PublicTransportation,WheelchairAccessible,FamilyFriendly,PetFriendly,Wifi,Showers,LockerRoom,EquipmentRental,WellnessType,TreatmentTypes,Certification,Licensed,InsuranceAccepted,AppointmentRequired,WalkInsWelcome,GroupSessions,PrivateSessions,TargetAudience,SkillLevel,AgeGroups,BeginnerFriendly,AdvancedPrograms,Rating,ReviewCount,StaffPicks,Awards,Certifications,PhotoURL,ImageGallery,VideoURL,VirtualTour,SocialMedia,BusinessType,Ownership,Established,StaffSize,Languages,Tags,Keywords,Seasonal,WeatherDependent,BookingPlatform,CancellationPolicy,MembershipRequired,TrialClass,PackageDeals,MetaDescription,MetaKeywords,Featured,Popular,Trending
"Ocean Yoga Santa Cruz","Yoga Studio","","Beachfront yoga studio offering sunrise and sunset classes with ocean views.","Beachfront yoga studio offering sunrise and sunset classes with ocean views. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","123 Beach Street, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-1234","https://www.oceanyogasantacruz.com","","","","36.9741","-122.0308","Santa Cruz","","Sunrise Yoga, Sunset Yoga, Beach Yoga, Vinyasa Flow, Meditation, Ocean Views","Sunrise Yoga","Parking, Professional Staff, Clean Facilities","","Sunrise Yoga, Sunset Yoga, Beach Yoga, Vinyasa Flow, Meditation, Ocean Views","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Yoga Studio","Sunrise Yoga, Sunset Yoga, Beach Yoga, Vinyasa Flow, Meditation, Ocean Views","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_ocean_yoga_santa_cruz&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Yoga, Ocean Views, Beach Yoga, Sunrise, Sunset, Meditation","Yoga, Ocean Views, Beach Yoga, Sunrise, Sunset, Meditation","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Ocean Yoga Santa Cruz - Yoga Studio in Santa Cruz, Santa Cruz County","Yoga, Ocean Views, Beach Yoga, Sunrise, Sunset, Meditation","","",""
"Mountain View Yoga","Yoga Studio","","Mountain retreat yoga studio in the redwoods offering forest yoga and meditation.","Mountain retreat yoga studio in the redwoods offering forest yoga and meditation. Located in beautiful Boulder Creek, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","456 Highway 9, Boulder Creek, CA 95006","Boulder Creek","CA","95006","(831) 338-5678","https://www.mountainviewyoga.com","","","","37.1261","-122.1217","Boulder Creek","","Forest Yoga, Mountain Views, Meditation, Hiking Yoga, Nature Connection","Forest Yoga","Parking, Professional Staff, Clean Facilities","","Forest Yoga, Mountain Views, Meditation, Hiking Yoga, Nature Connection","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Yoga Studio","Forest Yoga, Mountain Views, Meditation, Hiking Yoga, Nature Connection","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_mountain_view_yoga&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Yoga, Mountain Views, Forest, Nature, Meditation, Redwoods","Yoga, Mountain Views, Forest, Nature, Meditation, Redwoods","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Mountain View Yoga - Yoga Studio in Boulder Creek, Santa Cruz County","Yoga, Mountain Views, Forest, Nature, Meditation, Redwoods","","",""
"Capitola Beach Yoga","Yoga Studio","","Beachside yoga studio with classes directly on the sand during summer months.","Beachside yoga studio with classes directly on the sand during summer months. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","789 Capitola Beach, Capitola, CA 95010","Capitola","CA","95010","(831) 475-9012","https://www.capitolabeachyoga.com","","","","36.9753","-121.9534","Capitola","","Beach Yoga, Sand Classes, Summer Sessions, Sunset Practice, Ocean Sounds","Beach Yoga","Parking, Professional Staff, Clean Facilities","","Beach Yoga, Sand Classes, Summer Sessions, Sunset Practice, Ocean Sounds","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Yoga Studio","Beach Yoga, Sand Classes, Summer Sessions, Sunset Practice, Ocean Sounds","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_beach_yoga&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Beach Yoga, Sand, Summer, Sunset, Ocean, Outdoor","Beach Yoga, Sand, Summer, Sunset, Ocean, Outdoor","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola Beach Yoga - Yoga Studio in Capitola, Santa Cruz County","Beach Yoga, Sand, Summer, Sunset, Ocean, Outdoor","","",""
"Core Pilates Santa Cruz","Pilates Studio","","Specialized Pilates studio focusing on core strength and rehabilitation.","Specialized Pilates studio focusing on core strength and rehabilitation. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","321 Soquel Avenue, Santa Cruz, CA 95062","Santa Cruz","CA","95062","(831) 475-3456","https://www.corepilatessantacruz.com","","","","36.9741","-122.0308","Santa Cruz","","Core Pilates, Rehabilitation, Injury Prevention, Private Sessions, Small Groups","Core Pilates","Parking, Professional Staff, Clean Facilities","","Core Pilates, Rehabilitation, Injury Prevention, Private Sessions, Small Groups","","3","Premium","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Pilates Studio","Core Pilates, Rehabilitation, Injury Prevention, Private Sessions, Small Groups","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_core_pilates_santa_cruz&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Pilates, Core, Rehabilitation, Injury Prevention, Private","Pilates, Core, Rehabilitation, Injury Prevention, Private","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Core Pilates Santa Cruz - Pilates Studio in Santa Cruz, Santa Cruz County","Pilates, Core, Rehabilitation, Injury Prevention, Private","","",""
"Watsonville Pilates & Wellness","Pilates Studio","","Community-focused Pilates studio serving the Watsonville area with bilingual instruction.","Community-focused Pilates studio serving the Watsonville area with bilingual instruction. Located in beautiful Watsonville, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","654 Main Street, Watsonville, CA 95076","Watsonville","CA","95076","(831) 724-7890","https://www.watsonvillepilates.com","","","","36.9102","-121.7569","Watsonville","","Pilates, Bilingual Classes, Community Focus, Affordable Pricing, Group Classes","Pilates","Parking, Professional Staff, Clean Facilities","","Pilates, Bilingual Classes, Community Focus, Affordable Pricing, Group Classes","","2","Moderate","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Pilates Studio","Pilates, Bilingual Classes, Community Focus, Affordable Pricing, Group Classes","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_watsonville_pilates___wellness&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Pilates, Community, Bilingual, Affordable, Group Classes","Pilates, Community, Bilingual, Affordable, Group Classes","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Watsonville Pilates & Wellness - Pilates Studio in Watsonville, Santa Cruz County","Pilates, Community, Bilingual, Affordable, Group Classes","","",""
"Scotts Valley Athletic Club","Fitness Center","","Full-service athletic club with tennis courts, swimming pool, and comprehensive fitness programs.","Full-service athletic club with tennis courts, swimming pool, and comprehensive fitness programs. Located in beautiful Scotts Valley, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","987 Mount Hermon Road, Scotts Valley, CA 95066","Scotts Valley","CA","95066","(831) 438-2345","https://www.scottsvalleyathletic.com","","","","37.0511","-122.0147","Scotts Valley","","Tennis, Swimming, Fitness Classes, Personal Training, Locker Rooms, Sauna","Tennis","Parking, Professional Staff, Clean Facilities","","Tennis, Swimming, Fitness Classes, Personal Training, Locker Rooms, Sauna","","3","Premium","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Center","Tennis, Swimming, Fitness Classes, Personal Training, Locker Rooms, Sauna","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_scotts_valley_athletic_club&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Tennis, Swimming, Athletic Club, Personal Training, Sauna","Tennis, Swimming, Athletic Club, Personal Training, Sauna","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Scotts Valley Athletic Club - Fitness Center in Scotts Valley, Santa Cruz County","Tennis, Swimming, Athletic Club, Personal Training, Sauna","","",""
"Capitola Fitness Center","Fitness Center","","Modern fitness center with state-of-the-art equipment and group fitness classes.","Modern fitness center with state-of-the-art equipment and group fitness classes. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","147 41st Avenue, Capitola, CA 95010","Capitola","CA","95010","(831) 475-6789","https://www.capitolafitness.com","","","","36.9753","-121.9534","Capitola","","Modern Equipment, Group Fitness, Personal Training, Cardio, Weight Training","Modern Equipment","Parking, Professional Staff, Clean Facilities","","Modern Equipment, Group Fitness, Personal Training, Cardio, Weight Training","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Center","Modern Equipment, Group Fitness, Personal Training, Cardio, Weight Training","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_fitness_center&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Modern Equipment, Group Fitness, Personal Training, Cardio","Modern Equipment, Group Fitness, Personal Training, Cardio","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola Fitness Center - Fitness Center in Capitola, Santa Cruz County","Modern Equipment, Group Fitness, Personal Training, Cardio","","",""
"Live Oak Community Fitness","Fitness Center","","Community-focused fitness center with affordable memberships and family programs.","Community-focused fitness center with affordable memberships and family programs. Located in beautiful Live Oak, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","258 17th Avenue, Santa Cruz, CA 95062","Santa Cruz","CA","95062","(831) 475-2345","https://www.liveoakfitness.com","","","","36.9583","-121.9728","Live Oak","","Affordable Fitness, Family Programs, Childcare, Group Classes, Community Events","Affordable Fitness","Parking, Professional Staff, Clean Facilities","","Affordable Fitness, Family Programs, Childcare, Group Classes, Community Events","","1","Budget-friendly","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Center","Affordable Fitness, Family Programs, Childcare, Group Classes, Community Events","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_live_oak_community_fitness&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Community Fitness, Family, Childcare, Affordable, Group Classes","Community Fitness, Family, Childcare, Affordable, Group Classes","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Live Oak Community Fitness - Fitness Center in Live Oak, Santa Cruz County","Community Fitness, Family, Childcare, Affordable, Group Classes","","",""
"Redwood Spa & Wellness","Spa & Wellness","","Mountain spa offering treatments inspired by the surrounding redwood forest.","Mountain spa offering treatments inspired by the surrounding redwood forest. Located in beautiful Felton, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","369 Highway 9, Felton, CA 95018","Felton","CA","95018","(831) 335-1234","https://www.redwoodspa.com","","","","37.0511","-122.0739","Felton","","Forest-Inspired Treatments, Massage, Facials, Wellness Packages, Nature Therapy","Forest-Inspired Treatments","Parking, Professional Staff, Clean Facilities","","Forest-Inspired Treatments, Massage, Facials, Wellness Packages, Nature Therapy","","4","Luxury","Daily: 9:00 AM - 8:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Spa & Wellness","Forest-Inspired Treatments, Massage, Facials, Wellness Packages, Nature Therapy","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_redwood_spa___wellness&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Mountain Spa, Forest, Redwoods, Nature Therapy, Wellness Packages","Mountain Spa, Forest, Redwoods, Nature Therapy, Wellness Packages","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Redwood Spa & Wellness - Spa & Wellness in Felton, Santa Cruz County","Mountain Spa, Forest, Redwoods, Nature Therapy, Wellness Packages","","",""
"Aptos Day Spa","Spa & Wellness","","Luxurious day spa offering comprehensive wellness treatments and relaxation services.","Luxurious day spa offering comprehensive wellness treatments and relaxation services. Located in beautiful Aptos, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","852 Trout Gulch Road, Aptos, CA 95003","Aptos","CA","95003","(831) 688-5678","https://www.aptosdayspa.com","","","","36.9772","-121.9014","Aptos","","Day Spa, Massage, Facials, Body Treatments, Wellness Packages, Relaxation","Day Spa","Parking, Professional Staff, Clean Facilities","","Day Spa, Massage, Facials, Body Treatments, Wellness Packages, Relaxation","","4","Luxury","Daily: 9:00 AM - 8:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Spa & Wellness","Day Spa, Massage, Facials, Body Treatments, Wellness Packages, Relaxation","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_aptos_day_spa&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Day Spa, Luxury, Massage, Facials, Relaxation, Wellness","Day Spa, Luxury, Massage, Facials, Relaxation, Wellness","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Aptos Day Spa - Spa & Wellness in Aptos, Santa Cruz County","Day Spa, Luxury, Massage, Facials, Relaxation, Wellness","","",""
